baseDate,sido,firstCnt,secondCnt,totalFirstCnt,totalSecondCnt,accumulatedFirstCnt,accumulatedSecondCnt,id,thirdCnt,totalThirdCnt,accumulatedThirdCnt
2022-10-28 00:00:00,전라남도,6.0,11.0,1655204,1640903.0,1655198,1640892.0,10029,38.0,1364646.0,1364608.0
2022-10-28 00:00:00,전라북도,6.0,9.0,1593846,1580966.0,1593840,1580957.0,10028,36.0,1285401.0,1285365.0
2022-10-28 00:00:00,충청남도,8.0,13.0,1901339,1883917.0,1901331,1883904.0,10027,51.0,1478728.0,1478677.0
2022-10-28 00:00:00,충청북도,5.0,7.0,1430637,1418177.0,1430632,1418170.0,10026,42.0,1108000.0,1107958.0
2022-10-28 00:00:00,강원도,4.0,10.0,1351676,1340452.0,1351672,1340442.0,10025,38.0,1064481.0,1064443.0
2022-10-27 00:00:00,세종특별자치시,1.0,3.0,300192,296481.0,300191,296478.0,10005,6.0,210721.0,210715.0
2022-10-27 00:00:00,울산광역시,5.0,4.0,968418,959155.0,968413,959151.0,10004,29.0,720339.0,720310.0
2022-10-27 00:00:00,대전광역시,2.0,6.0,1245542,1233444.0,1245540,1233438.0,10003,59.0,908622.0,908563.0
2022-10-27 00:00:00,광주광역시,3.0,12.0,1262237,1250811.0,1262234,1250799.0,10002,25.0,968839.0,968814.0
2022-10-27 00:00:00,인천광역시,9.0,7.0,2573338,2549142.0,2573329,2549135.0,10001,110.0,1913197.0,1913087.0
2022-10-27 00:00:00,대구광역시,9.0,11.0,2018717,1995908.0,2018708,1995897.0,10000,92.0,1404469.0,1404377.0
2022-10-27 00:00:00,부산광역시,8.0,15.0,2880019,2851428.0,2880011,2851413.0,9999,169.0,2139192.0,2139023.0
2022-10-27 00:00:00,경기도,38.0,74.0,11835402,11721296.0,11835364,11721222.0,10006,524.0,8700103.0,8699579.0
2022-10-27 00:00:00,강원도,8.0,7.0,1351545,1340317.0,1351537,1340310.0,10007,56.0,1064372.0,1064316.0
2022-10-27 00:00:00,충청북도,3.0,8.0,1430494,1418038.0,1430491,1418030.0,10008,31.0,1107841.0,1107810.0
2022-10-27 00:00:00,충청남도,15.0,4.0,1901188,1883761.0,1901173,1883757.0,10009,51.0,1478529.0,1478478.0
2022-10-27 00:00:00,전라북도,14.0,16.0,1593784,1580904.0,1593770,1580888.0,10010,36.0,1285311.0,1285275.0
2022-10-27 00:00:00,전라남도,7.0,18.0,1655109,1640801.0,1655102,1640783.0,10011,30.0,1364528.0,1364498.0
2022-10-27 00:00:00,경상북도,17.0,12.0,2293304,2269634.0,2293287,2269622.0,10012,59.0,1726611.0,1726552.0
2022-10-27 00:00:00,경상남도,10.0,16.0,2882841,2853742.0,2882831,2853726.0,10013,78.0,2144533.0,2144455.0
2022-10-27 00:00:00,제주특별자치도,0.0,1.0,590818,585189.0,590818,585188.0,10014,27.0,438662.0,438635.0
2022-10-27 00:00:00,서울특별시,39.0,47.0,8336876,8259148.0,8336837,8259101.0,9998,567.0,6071054.0,6070487.0
2022-10-27 00:00:00,전국,188.0,261.0,45119824,44689199.0,45119636,44688938.0,9997,1949.0,33646923.0,33644974.0
2022-10-26 00:00:00,제주특별자치도,2.0,6.0,590793,585165.0,590791,585159.0,9996,23.0,438618.0,438595.0
2022-10-26 00:00:00,전국,169.0,218.0,45119552,44688848.0,45119383,44688630.0,9979,2057.0,33644844.0,33642787.0
2022-10-26 00:00:00,서울특별시,29.0,37.0,8337222,8259483.0,8337193,8259446.0,9980,570.0,6070821.0,6070251.0
2022-10-26 00:00:00,부산광역시,12.0,7.0,2880056,2851456.0,2880044,2851449.0,9981,151.0,2139036.0,2138885.0
2022-10-26 00:00:00,대구광역시,8.0,7.0,2018773,1995964.0,2018765,1995957.0,9982,88.0,1404432.0,1404344.0
2022-10-26 00:00:00,광주광역시,2.0,3.0,1262273,1250838.0,1262271,1250835.0,9983,33.0,968849.0,968816.0
2022-10-26 00:00:00,인천광역시,11.0,13.0,2573266,2549071.0,2573255,2549058.0,9984,136.0,1913046.0,1912910.0
2022-10-26 00:00:00,대전광역시,2.0,6.0,1245571,1233469.0,1245569,1233463.0,9985,49.0,908571.0,908522.0
2022-10-26 00:00:00,울산광역시,4.0,4.0,968450,959187.0,968446,959183.0,9986,32.0,720331.0,720299.0
2022-10-26 00:00:00,세종특별자치시,1.0,3.0,300220,296509.0,300219,296506.0,9987,11.0,210750.0,210739.0
2022-10-26 00:00:00,경기도,30.0,59.0,11835104,11720953.0,11835074,11720894.0,9988,581.0,8699364.0,8698783.0
2022-10-26 00:00:00,경상남도,13.0,8.0,2882860,2853756.0,2882847,2853748.0,9995,128.0,2144473.0,2144345.0
2022-10-26 00:00:00,경상북도,12.0,12.0,2293271,2269606.0,2293259,2269594.0,9994,64.0,1726525.0,1726461.0
2022-10-26 00:00:00,전라남도,15.0,16.0,1654975,1640658.0,1654960,1640642.0,9993,26.0,1364382.0,1364356.0
